# Program:featureCounts v1.6.2; Command:"featureCounts" "-T" "8" "-p" "-t" "exon" "-g" "gene_id" "-a" "../reference/s288c_e.gff" "-o" "../featurecount/counts.txt" "SRR453566.sorted.bam" "SRR453567.sorted.bam" "SRR453568.sorted.bam" "SRR453569.sorted.bam" "SRR453570.sorted.bam" "SRR453571.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR453566.sorted.bam	SRR453567.sorted.bam	SRR453568.sorted.bam	SRR453569.sorted.bam	SRR453570.sorted.bam	SRR453571.sorted.bam
gene_0028	NC_001133.9	62840	65404	+	2565	402	598	441	288	321	423
gene_0029	NC_001133.9	65778	67520	-	1743	450	622	453	248	296	290
gene_0030	NC_001133.9	68716	69525	-	810	397	434	337	298	324	506
gene_0031	NC_001133.9	71786	73288	+	1503	26880	39490	29838	8110	13255	16628
gene_0032	NC_001133.9	73426	73518	-	93	10	10	6	3	2	7
gene_0033	NC_001133.9	74020	74823	+	804	70	80	54	49	63	80
gene_0034	NC_001133.9	75043	76152	-	1110	624	869	664	291	299	388
gene_0035	NC_001133.9	76427	79435	+	3009	2684	4247	3190	1458	1722	2165
gene_0036	NC_001133.9	79718	80587	+	870	91	127	88	79	87	124
gene_0037	NC_001133.9	80710	81951	-	1242	132	167	121	341	465	548
gene_0038	NC_001133.9	82706	83227	+	522	169	246	164	60	75	120
gene_0039	NC_001133.9	83335	84474	-	1140	114	154	126	185	207	256
gene_0040	NC_001133.9	84749	87031	-	2283	257	281	223	182	212	250
gene_0041	NC_001133.9;NC_001133.9	87286;87501	87387;87752	+;+	354	155	199	126	227	280	404
gene_0042	NC_001133.9	87855	92270	-	4416	914	1279	949	342	412	525
gene_0043	NC_001133.9	92900	94486	+	1587	52	71	40	75	74	105
gene_0044	NC_001133.9	94687	95472	+	786	115	148	112	178	208	279
gene_0045	NC_001133.9	95630	99697	-	4068	610	889	599	323	404	541
gene_0046	NC_001133.9	99305	99868	+	564	2	5	4	1	5	4
gene_0047	NC_001133.9	100225	101145	-	921	834	1104	866	306	416	491
gene_0048	NC_001133.9	101565	105872	-	4308	243	341	221	146	185	244
gene_0049	NC_001133.9	106272	108551	-	2280	2534	3484	2510	808	860	1098
gene_0050	NC_001133.9	108877	110430	-	1554	319	475	327	220	223	267
gene_0051	NC_001133.9	110846	113359	-	2514	554	772	582	417	437	521
gene_0052	NC_001133.9	113614	114615	-	1002	204	290	184	137	128	187
gene_0053	NC_001133.9	114919	118314	+	3396	616	985	750	282	342	489
gene_0054	NC_001133.9	118564	119541	-	978	7	2	5	9	16	33
gene_0055	NC_001133.9	120225	124295	+	4071	445	625	461	583	775	952
gene_0056	NC_001133.9	124879	126786	+	1908	807	1013	816	923	1201	1494
gene_0057	NC_001133.9	126903	128102	-	1200	216	255	193	181	235	295
gene_0058	NC_001133.9	128252	129019	-	768	255	290	215	150	174	218
gene_0059	NC_001133.9	129270	130487	+	1218	346	441	342	299	351	450
gene_0060	NC_001133.9	130799	131983	+	1185	2676	3530	2655	672	841	1248
gene_0061	NC_001133.9	132199	134076	+	1878	212	313	203	206	223	305
gene_0062	NC_001133.9	134184	135665	-	1482	134	211	138	173	182	247
gene_0063	NC_001133.9	135854	136633	+	780	211	226	157	176	192	227
gene_0064	NC_001133.9	136914	137510	+	597	160	171	111	307	405	556
gene_0065	NC_001133.9	137698	138345	-	648	733	986	693	257	272	344
gene_0066	NC_001133.9;NC_001133.9	139152;139219	139187;139254	+;+	72	0	0	0	0	0	2
gene_0067	NC_001133.9	139503	141431	-	1929	2706	3169	2223	11118	17030	20502
gene_0068	NC_001133.9;NC_001133.9	142174;142620	142253;143160	+;+	621	6247	8823	7030	2641	3061	4088
gene_0069	NC_001133.9	142367	142468	+	102	67	68	68	19	42	42
gene_0070	NC_001133.9	143707	147531	+	3825	307	414	287	275	335	411
gene_0071	NC_001133.9;NC_001133.9	147594;151097	151006;151166	-;-	3483	534	753	502	432	556	698
gene_0072	NC_001133.9	152257	153876	+	1620	538	701	524	250	320	348
gene_0073	NC_001133.9	154065	154724	-	660	1079	1470	996	521	582	799
gene_0074	NC_001133.9	155005	156285	+	1281	330	419	300	161	180	265
gene_0075	NC_001133.9	156754	158619	-	1866	616	801	662	563	674	865
gene_0076	NC_001133.9	158966	159793	+	828	209	273	168	137	159	187
gene_0077	NC_001133.9	160597	164187	-	3591	21	32	21	12	11	9
gene_0078	NC_001133.9	164544	165866	-	1323	0	0	0	0	1	0
gene_0079	NC_001133.9	166267	166339	+	73	0	0	0	0	0	0
gene_0080	NC_001133.9	166742	168871	-	2130	757	1124	811	524	641	730
gene_0081	NC_001133.9	169375	170295	+	921	2433	3614	2659	775	801	952
gene_0082	NC_001133.9	170396	171703	-	1308	152	217	159	134	115	150
gene_0083	NC_001133.9	172211	175135	-	2925	133	219	133	119	161	215
gene_0084	NC_001133.9	176856	177023	-	168	22	16	11	43	64	66
gene_0085	NC_001133.9	179281	179820	-	540	46	52	42	36	51	49
gene_0086	NC_001133.9;NC_001133.9	181141;181211	181178;181254	+;+	82	1	0	1	0	0	0
gene_0087	NC_001133.9	182522	182603	-	82	0	0	0	0	1	0
gene_0088	NC_001133.9	183770	184477	+	708	284	332	223	296	362	445
gene_0089	NC_001133.9	184892	185596	+	705	107	123	99	25	20	40
gene_0090	NC_001133.9	186321	186545	+	225	21	27	18	4	4	10
gene_0091	NC_001133.9	186836	187732	+	897	28	30	29	25	35	33
gene_0092	NC_001133.9	188107	188811	+	705	57	92	51	33	52	54
gene_0093	NC_001133.9	190193	192256	+	2064	153	205	163	1078	1040	1230
gene_0094	NC_001133.9	192337	192417	-	81	0	0	2	3	0	1
gene_0095	NC_001133.9	192619	196185	+	3567	495	796	535	425	534	659
gene_0096	NC_001133.9	203403	208016	+	4614	25	38	23	35	37	48
gene_0097	NC_001133.9	218140	219145	+	1006	0	0	0	0	0	0
gene_0098	NC_001133.9	220198	220497	+	300	2	3	3	2	1	2
gene_0099	NC_001133.9	221049	221660	+	612	4	10	6	22	23	29
gene_0100	NC_001133.9	222406	222891	+	486	9	22	24	32	32	49
gene_0101	NC_001133.9	225460	226863	+	1404	45	58	36	34	42	46
gene_0102	NC_001134.8	280	2658	-	2379	357	444	315	371	427	583
gene_0103	NC_001134.8	2582	2899	-	318	0	0	1	0	0	0
gene_0104	NC_001134.8;NC_001134.8	2907;4216	4116;5009	-;-	2004	8	12	9	12	12	20
gene_0105	NC_001134.8	7605	7733	-	129	0	0	0	0	0	1
gene_0106	NC_001134.8	9583	9666	+	84	0	0	0	0	0	0
gene_0107	NC_001134.8	9961	10551	-	591	324	433	304	254	320	364
gene_0108	NC_001134.8	10847	13879	-	3033	233	299	225	269	284	368
gene_0109	NC_001134.8	14241	17696	-	3456	637	924	660	687	794	934
gene_0110	NC_001134.8	18177	21293	-	3117	320	454	351	249	310	379
gene_0111	NC_001134.8	22076	23536	-	1461	291	386	279	280	346	433
gene_0112	NC_001134.8	24098	24745	+	648	369	539	384	347	420	544
gene_0113	NC_001134.8	24946	28299	-	3354	434	626	448	583	800	870
gene_0114	NC_001134.8	28427	28546	+	120	13	20	7	13	17	17
gene_0115	NC_001134.8	29935	35248	+	5314	125	179	108	124	94	128
gene_0116	NC_001134.8	29935	31251	+	1317	0	0	0	0	0	0
gene_0117	NC_001134.8;NC_001134.8	36398;36453	36434;36488	+;+	73	0	0	1	0	0	0
gene_0118	NC_001134.8	37053	38690	+	1638	4002	4838	3592	5689	6688	8287
gene_0119	NC_001134.8	39145	40527	+	1383	1180	1368	936	401	437	518
gene_0120	NC_001134.8	40831	43095	+	2265	246	324	220	123	140	185
gene_0121	NC_001134.8	43277	44089	+	813	305	370	265	207	228	281
gene_0122	NC_001134.8	44256	44918	-	663	223	255	207	197	230	375
gene_0123	NC_001134.8	45978	46370	+	393	8965	12360	8766	2530	3035	4081
gene_0124	NC_001134.8;NC_001134.8	46565;47147	47058;47180	-;-	528	73	96	57	68	87	100
gene_0125	NC_001134.8	47363	48628	-	1266	752	1139	829	434	515	648
gene_0126	NC_001134.8	48825	49358	+	534	384	440	311	241	289	387
gene_0127	NC_001134.8	49574	50953	+	1380	182	247	191	113	119	133
gene_0128	NC_001134.8	51019	59382	-	8364	465	619	448	389	536	653
gene_0129	NC_001134.8;NC_001134.8	59822;60698	60193;60739	-;-	414	2779	3961	2779	641	727	1080
gene_0130	NC_001134.8	61202	62602	-	1401	189	225	176	142	203	302
gene_0131	NC_001134.8	63876	66818	+	2943	689	998	681	359	382	519
gene_0132	NC_001134.8	67169	69445	-	2277	210	311	234	219	313	321
gene_0133	NC_001134.8	69751	71127	-	1377	348	508	370	176	226	294
gene_0134	NC_001134.8	71866	72972	+	1107	257	363	256	94	104	118
gene_0135	NC_001134.8	73070	74695	-	1626	195	224	177	164	203	238
gene_0136	NC_001134.8	75259	79767	+	4509	1068	1491	1020	605	614	772
gene_0137	NC_001134.8	80378	80731	-	354	97	85	54	323	427	572
gene_0138	NC_001134.8	81043	84261	-	3219	4408	6295	4713	2102	2406	3229
gene_0139	NC_001134.8	84499	86448	-	1950	237	274	208	5595	13412	17176
gene_0140	NC_001134.8	86722	87789	-	1068	91	117	78	79	86	117
gene_0141	NC_001134.8	88190	88277	+	88	2	3	1	3	0	0
gene_0142	NC_001134.8	88523	89125	-	603	5046	6886	4955	1659	1938	2628
gene_0143	NC_001134.8	89458	89556	-	99	2	0	3	0	1	1
gene_0144	NC_001134.8	89978	90226	+	249	117	174	109	73	73	108
gene_0145	NC_001134.8	90223	90531	-	309	41	47	37	27	26	30
gene_0146	NC_001134.8	90741	92030	+	1290	212	331	190	135	130	205
gene_0147	NC_001134.8	92414	93394	+	981	279	388	271	127	148	223
gene_0148	NC_001134.8	93639	95882	-	2244	392	565	396	658	951	1002
gene_0149	NC_001134.8	96669	100115	-	3447	322	384	276	360	417	505
gene_0150	NC_001134.8	100371	101156	-	786	267	305	214	1135	1479	1753
gene_0151	NC_001134.8	101886	105221	+	3336	319	395	290	218	246	265
gene_0152	NC_001134.8	105316	107406	-	2091	586	790	559	244	250	329
gene_0153	NC_001134.8	107932	109995	+	2064	205	249	187	166	214	250
gene_0154	NC_001134.8;NC_001134.8	110125;110506	110420;110539	-;-	330	254	274	188	203	219	312
gene_0155	NC_001134.8;NC_001134.8	110594;110949	110879;111244	+;+	582	95	100	79	112	106	167
gene_0156	NC_001134.8	111437	112708	+	1272	926	1276	1022	748	904	1183
gene_0157	NC_001134.8	112801	113427	-	627	359	463	310	169	156	231
gene_0158	NC_001134.8	113762	115168	+	1407	1234	1613	1205	781	951	1195
gene_0159	NC_001134.8	115573	116829	-	1257	329	408	277	180	168	285
gene_0160	NC_001134.8	117589	119166	+	1578	302	351	272	213	244	327
gene_0161	NC_001134.8	119379	121874	-	2496	484	729	499	283	323	402
gene_0162	NC_001134.8	122753	124759	-	2007	614	850	652	379	410	530
gene_0163	NC_001134.8;NC_001134.8	125125;125271	125154;126119	+;+	879	469	625	446	485	571	803
gene_0164	NC_001134.8	126828	127244	+	417	42	46	33	502	640	785
gene_0165	NC_001134.8	127299	127610	+	312	19	22	10	104	121	171
gene_0166	NC_001134.8	127895	132040	-	4146	1533	1967	1386	1363	1622	1867
gene_0167	NC_001134.8	132424	133749	+	1326	295	394	302	246	253	361
gene_0168	NC_001134.8	134143	135516	-	1374	2640	3206	2499	3837	4621	5566
gene_0169	NC_001134.8	135998	136366	+	369	4	4	1	1	2	0
gene_0170	NC_001134.8	136688	137461	+	774	88	85	56	580	680	788
gene_0171	NC_001134.8	138341	140260	-	1920	533	902	700	554	488	632
gene_0172	NC_001134.8	141247	141972	+	726	802	1104	837	746	828	1073
gene_0173	NC_001134.8;NC_001134.8	142112;142847	142749;142868	-;-	660	717	1009	601	309	354	400
gene_0174	NC_001134.8	143393	143572	+	180	43	50	32	101	134	166
gene_0175	NC_001134.8	143989	145728	-	1740	1647	2359	1652	427	564	749
gene_0176	NC_001134.8	146187	146885	+	699	412	458	365	325	364	545
gene_0177	NC_001134.8	147209	150286	+	3078	312	422	309	258	316	351
gene_0178	NC_001134.8	150447	151220	-	774	454	682	472	290	351	476
gene_0179	NC_001134.8	151493	153610	-	2118	280	394	247	207	248	261
gene_0180	NC_001134.8	153848	158389	-	4542	306	406	287	286	306	376
gene_0181	NC_001134.8	158656	159693	-	1038	283	294	234	475	558	710
gene_0182	NC_001134.8	160184	161329	+	1146	548	746	548	332	324	419
gene_0183	NC_001134.8	161699	162715	+	1017	94	149	92	43	48	65
gene_0184	NC_001134.8	163041	163997	-	957	5407	6689	4740	4707	5572	7391
gene_0185	NC_001134.8	164488	164772	-	285	78	118	71	187	202	242
gene_0186	NC_001134.8	166134	167264	+	1131	122	188	115	129	167	241
gene_0187	NC_001134.8	167518	167838	-	321	470	588	375	139	186	255
gene_0188	NC_001134.8;NC_001134.8	168423;168809	168424;169376	+;+	570	6732	9184	7092	2262	2982	3725
gene_0189	NC_001134.8;NC_001134.8	170623;170805	170676;171038	+;+	288	343	428	258	202	229	341
gene_0190	NC_001134.8	171481	171918	+	438	108	131	98	78	88	127
gene_0191	NC_001134.8	172534	174588	+	2055	837	1287	947	427	495	584
gene_0192	NC_001134.8	174920	177526	-	2607	308	531	367	266	368	468
gene_0193	NC_001134.8	177874	181275	-	3402	2187	2934	2234	1444	1701	2161
gene_0194	NC_001134.8	181660	182094	-	435	185	194	132	125	138	199
gene_0195	NC_001134.8	182401	184125	+	1725	380	582	418	260	246	370
gene_0196	NC_001134.8	184353	185915	+	1563	132	158	114	154	221	258
gene_0197	NC_001134.8;NC_001134.8	185998;186428	186352;186474	-;-	402	295	398	191	144	140	230
gene_0198	NC_001134.8	186844	191583	-	4740	1549	2181	1412	792	934	1042
gene_0199	NC_001134.8	192451	193512	+	1062	336	369	301	250	203	245
gene_0200	NC_001134.8	194122	195702	+	1581	683	755	573	2421	2736	3539
gene_0201	NC_001134.8	197494	197567	+	74	0	0	0	0	0	0
gene_0202	NC_001134.8	197629	197699	-	71	0	0	0	0	0	0
gene_0203	NC_001134.8	199064	201748	-	2685	318	435	322	167	222	269
gene_0204	NC_001134.8	202056	203261	+	1206	56	77	59	44	31	59
gene_0205	NC_001134.8	203538	205817	+	2280	780	1065	740	428	521	619
gene_0206	NC_001134.8	206107	206949	-	843	162	225	144	74	102	131
gene_0207	NC_001134.8	207194	209224	+	2031	401	545	391	279	308	381
gene_0208	NC_001134.8	209409	209648	+	240	2	1	0	2	2	0
gene_0209	NC_001134.8	209653	212175	+	2523	294	433	345	196	258	318
gene_0210	NC_001134.8	212632	216366	-	3735	1147	1622	1075	1029	1232	1427
gene_0211	NC_001134.8	216587	217129	-	543	306	394	276	205	223	366
gene_0212	NC_001134.8	217470	220400	+	2931	175	268	174	170	212	240
gene_0213	NC_001134.8	221330	226598	+	5269	27	20	17	7	6	8
gene_0214	NC_001134.8	221330	222652	+	1323	0	0	0	0	0	0
gene_0215	NC_001134.8	227075	227156	+	82	0	1	0	0	0	3
gene_0216	NC_001134.8	227636	235117	+	7482	1284	1909	1342	549	707	806
gene_0217	NC_001134.8	235394	235792	-	399	3005	3990	2568	1335	1289	1703
gene_0218	NC_001134.8	236492	236887	+	396	4065	4871	3269	1965	1994	2578
gene_0219	NC_001134.8	237153	237467	-	315	451	600	386	701	858	1125
gene_0220	NC_001134.8	238941	241283	-	2343	159	178	123	368	474	606
gene_0221	NC_001134.8	241708	242568	-	861	291	404	252	104	142	201
gene_0222	NC_001134.8	242809	244230	+	1422	456	555	401	230	317	325
gene_0223	NC_001134.8	244366	245667	-	1302	272	289	198	126	149	208
gene_0224	NC_001134.8	245906	246547	+	642	165	164	111	195	206	251
gene_0225	NC_001134.8	247010	248503	+	1494	225	246	175	422	577	813
gene_0226	NC_001134.8	248806	251016	-	2211	215	302	181	124	179	191
gene_0227	NC_001134.8	252563	254209	-	1647	199	282	211	235	317	382
gene_0228	NC_001134.8	255373	255684	-	312	3739	4299	2930	2799	3089	4050
gene_0229	NC_001134.8	256331	256741	+	411	4221	5040	3407	3102	3285	4238
gene_0230	NC_001134.8	257112	257975	-	864	4071	6160	4450	2619	2937	3729
gene_0231	NC_001134.8	259869	265140	+	5272	5	6	6	2	2	4
gene_0232	NC_001134.8	259869	261191	+	1323	0	0	0	0	0	0
gene_0233	NC_001134.8	265492	265881	-	390	39	59	37	40	43	48
gene_0234	NC_001134.8	266378	266450	+	73	0	0	1	1	0	3
gene_0235	NC_001134.8	266725	267336	-	612	326	378	263	250	312	398
gene_0236	NC_001134.8	267710	269503	-	1794	967	1487	966	679	794	1066
gene_0237	NC_001134.8	270247	270633	+	387	287	396	282	343	349	513
gene_0238	NC_001134.8	270947	273703	-	2757	730	1164	821	434	492	584
gene_0239	NC_001134.8	274427	275527	-	1101	15	17	15	14	29	31
gene_0240	NC_001134.8	276253	278352	-	2100	65	63	58	72	86	102
gene_0241	NC_001134.8	279021	280607	+	1587	43	51	61	49	67	81
gene_0242	NC_001134.8	281443	283344	+	1902	392	537	398	296	367	392
gene_0243	NC_001134.8	283738	284271	+	534	201	260	172	113	167	235
gene_0244	NC_001134.8	284428	287925	-	3498	1128	1505	992	628	762	872
gene_0245	NC_001134.8	289445	290350	+	906	108	160	98	169	207	273
gene_0246	NC_001134.8	290681	291865	-	1185	3438	5023	3736	1854	2806	3336
gene_0247	NC_001134.8	292877	294019	-	1143	156	194	122	1843	3058	3874
gene_0248	NC_001134.8	294024	294356	-	333	3	1	7	4	2	4
gene_0249	NC_001134.8	294425	296002	-	1578	347	491	313	229	246	350
gene_0250	NC_001134.8	296369	297742	-	1374	1166	1596	1162	676	751	883
gene_0251	NC_001134.8	298292	299950	+	1659	221	328	235	141	163	169
gene_0252	NC_001134.8	300166	301254	+	1089	4750	6918	5257	1455	1686	2106
gene_0253	NC_001134.8	301519	301821	+	303	8	17	12	6	12	17
gene_0254	NC_001134.8	301944	304703	+	2760	122	131	105	220	287	323
gene_0255	NC_001134.8	304930	305976	-	1047	742	884	666	301	391	531
gene_0256	NC_001134.8	306269	306955	-	687	722	973	673	594	723	892
gene_0257	NC_001134.8	307185	307345	-	161	5	4	3	2	1	1
gene_0258	NC_001134.8	307587	308887	+	1301	584	866	552	159	175	243
gene_0259	NC_001134.8	309081	310313	-	1233	1279	1630	1102	959	1047	1278
gene_0260	NC_001134.8	310565	311452	-	888	241	293	197	159	212	297
gene_0261	NC_001134.8	311898	314789	+	2892	638	863	603	438	486	563
gene_0262	NC_001134.8	315575	316510	+	936	1593	1983	1429	2030	2183	2832
gene_0263	NC_001134.8	316968	317864	+	897	1	2	4	2	7	12
gene_0264	NC_001134.8	318266	320275	+	2010	625	798	532	225	269	335
gene_0265	NC_001134.8	320416	321609	-	1194	376	534	345	122	157	214
gene_0266	NC_001134.8	321876	323945	-	2070	376	475	354	478	576	761
gene_0267	NC_001134.8	324341	326059	-	1719	354	503	316	220	256	340
gene_0268	NC_001134.8	326792	326865	-	74	0	0	0	0	1	1
gene_0269	NC_001134.8	328173	330092	-	1920	78	87	70	156	179	201
gene_0270	NC_001134.8	330507	331511	-	1005	93	90	61	799	958	1258
gene_0271	NC_001134.8	331833	332360	+	528	32	31	19	112	196	189
gene_0272	NC_001134.8;NC_001134.8	332831;333387	332875;333812	+;+	471	4550	6340	4813	1300	1484	1927
gene_0273	NC_001134.8	334386	336818	-	2433	733	1019	783	512	646	816
gene_0274	NC_001134.8	337183	338199	-	1017	33	20	17	238	185	166
gene_0275	NC_001134.8	338720	339352	-	633	383	482	337	299	306	401
gene_0276	NC_001134.8	339675	340751	-	1077	192	225	139	455	570	703
gene_0277	NC_001134.8	343101	344135	+	1035	253	189	137	3658	7799	8848
gene_0278	NC_001134.8	344602	347301	-	2700	341	515	368	221	236	311
gene_0279	NC_001134.8	347603	347686	+	84	1	0	1	1	0	0
gene_0280	NC_001134.8	347879	349384	+	1506	295	264	189	596	839	1140
gene_0281	NC_001134.8	350827	350898	+	72	1	0	0	1	2	5
gene_0282	NC_001134.8	351255	351455	+	201	132	45	30	66	49	89
gene_0283	NC_001134.8	352193	353293	-	1101	252	294	255	301	364	506
gene_0284	NC_001134.8	353672	356017	-	2346	455	688	472	485	575	684
gene_0285	NC_001134.8	356324	356566	-	243	592	779	427	303	373	529
gene_0286	NC_001134.8	356861	360187	-	3327	535	715	526	541	641	806
gene_0287	NC_001134.8	360652	362514	-	1863	296	407	270	228	222	239
gene_0288	NC_001134.8	364787	365719	-	933	269	364	279	124	183	224
gene_0289	NC_001134.8;NC_001134.8	365976;366585	366502;366600	-;-	543	225	291	219	252	383	458
gene_0290	NC_001134.8	366970	368184	-	1215	188	252	176	156	200	247
gene_0291	NC_001134.8	368584	369678	-	1095	150	214	169	123	132	190
gene_0292	NC_001134.8	370037	370699	-	663	178	198	147	179	237	307
gene_0293	NC_001134.8	372103	372735	-	633	129	99	90	8493	10604	12041
gene_0294	NC_001134.8	373861	375690	-	1830	216	211	158	1296	1664	2209
gene_0295	NC_001134.8	376574	378433	-	1860	73	86	68	90	67	86
gene_0296	NC_001134.8	379221	379934	-	714	211	263	187	127	149	196
gene_0297	NC_001134.8	380411	381046	+	636	370	429	282	538	664	888
gene_0298	NC_001134.8	382030	382674	+	645	162	169	103	20399	43945	56362
gene_0299	NC_001134.8	382860	383021	-	162	1	1	1	3	2	8
gene_0300	NC_001134.8	383112	385988	+	2877	810	1088	810	530	582	778
gene_0301	NC_001134.8	386286	389216	+	2931	706	1114	752	354	426	521
gene_0302	NC_001134.8	390227	391291	+	1065	14	21	5	26	54	57
gene_0303	NC_001134.8	391805	392293	-	489	225	271	216	179	194	230
gene_0304	NC_001134.8;NC_001134.8	393123;393511	393180;394742	+;+	1290	6789	9336	6447	3434	3958	4561
gene_0305	NC_001134.8	395383	398277	-	2895	2248	3376	2545	1062	1228	1627
gene_0306	NC_001134.8	398614	400890	-	2277	602	902	591	463	572	679
gene_0307	NC_001134.8	401253	405251	-	3999	610	899	632	504	662	825
gene_0308	NC_001134.8	405878	405949	+	72	0	0	0	4	3	1
gene_0309	NC_001134.8	405960	406031	+	72	0	0	0	0	0	0
gene_0310	NC_001134.8;NC_001134.8	406628;407123	407027;407169	-;-	447	1417	1876	1348	524	674	889
gene_0311	NC_001134.8	409169	410629	+	1461	400	480	358	345	329	384
gene_0312	NC_001134.8	411054	413981	+	2928	2257	3037	2346	598	639	913
gene_0313	NC_001134.8;NC_001134.8	414186;415260	414753;415261	-;-	570	5096	7019	5346	1859	2324	3060
gene_0314	NC_001134.8	415983	416906	+	924	49	71	58	5	2	6
gene_0315	NC_001134.8	418907	419164	-	258	675	534	329	2792	4148	5006
gene_0316	NC_001134.8	420201	423041	-	2841	1304	1852	1220	793	1078	1244
gene_0317	NC_001134.8	423765	424829	+	1065	298	421	298	197	226	269
gene_0318	NC_001134.8	424990	425766	-	777	571	767	581	406	439	556
gene_0319	NC_001134.8	426190	426489	-	300	191	291	189	250	356	416
gene_0320	NC_001134.8;NC_001134.8	426333;426874	426516;427058	-;-	369	10	6	6	4	6	9
gene_0321	NC_001134.8	427155	427484	-	330	141	153	108	54	73	87
gene_0322	NC_001134.8	427698	429101	-	1404	62	65	60	39	65	91
gene_0323	NC_001134.8	429548	430951	-	1404	15	21	17	15	25	31
gene_0324	NC_001134.8	432036	434297	+	2262	359	491	387	413	542	625
gene_0325	NC_001134.8	434406	435698	-	1293	211	284	195	189	245	334
gene_0326	NC_001134.8	436021	436713	+	693	426	679	379	168	150	242
gene_0327	NC_001134.8	436951	441315	+	4365	208	330	242	213	266	303
gene_0328	NC_001134.8	441515	443590	+	2076	158	205	137	205	268	361
gene_0329	NC_001134.8	443821	444693	-	873	738	954	626	974	1410	1862
gene_0330	NC_001134.8	445062	447323	-	2262	342	518	363	279	323	409
gene_0331	NC_001134.8	447709	449316	+	1608	332	394	294	277	323	414
gene_0332	NC_001134.8	449667	450656	+	990	644	838	560	129	154	214
gene_0333	NC_001134.8	450881	451969	-	1089	201	240	148	159	161	273
gene_0334	NC_001134.8	452658	453224	+	567	3861	5563	3587	1217	1323	1911
gene_0335	NC_001134.8	453793	454530	-	738	170	199	127	105	93	140
gene_0336	NC_001134.8	454822	457665	+	2844	235	332	211	289	363	434
gene_0337	NC_001134.8	457919	458362	-	444	884	1155	824	781	980	1291
gene_0338	NC_001134.8	458872	460221	+	1350	434	647	410	363	361	459
gene_0339	NC_001134.8	461178	461873	-	696	373	533	343	379	520	679
gene_0340	NC_001134.8;NC_001134.8;NC_001134.8	462139;462290;462500	462209;462429;462579	+;+;+	291	190	198	134	130	170	259
gene_0341	NC_001134.8	462870	465770	-	2901	926	1253	988	724	790	995
gene_0342	NC_001134.8	467248	469620	+	2373	190	242	164	164	213	276
gene_0343	NC_001134.8	469748	473926	-	4179	3808	5857	4531	1749	2063	2723
gene_0344	NC_001134.8	474392	476437	-	2046	94	106	80	2089	3462	3862
gene_0345	NC_001134.8	477671	479047	+	1377	10621	15596	11360	7897	11349	14865
gene_0346	NC_001134.8;NC_001134.8	479338;479435	479345;480323	+;+	897	174	176	129	237	295	438
gene_0347	NC_001134.8	480435	480923	-	489	170	212	139	155	194	264
gene_0348	NC_001134.8	481364	483367	-	2004	3380	4879	3457	1621	1847	2438
