gene_0001	seripauperin PAU8
gene_0067	Hsp70 family ATPase SSA1
gene_0068	translation elongation factor 1 subunit beta
gene_0070	CORVET complex membrane-binding subunit VPS8
gene_0071	transcription factor TFIIIC subunit TFC3
gene_0072	FG-nucleoporin NUP60
gene_0073	Erp1p
gene_0074	COMPASS subunit protein SWD1
gene_0075	replication factor A subunit protein RFA1
gene_0076	tRNA splicing endonuclease subunit SEN34
gene_0077	truncated gag-pol fusion protein
gene_0078	gag protein
gene_0080	protein phosphatase regulator BUD14
gene_0081	phosphoribosylaminoimidazolesuccinocarboxamide synthase
gene_0082	serine/threonine protein kinase KIN3
gene_0083	serine/threonine protein kinase CDC15
gene_0084	seripauperin PAU7
gene_0085	DUP240 family protein
gene_0088	DUP240 family protein UIP3
gene_0089	DUP240 family protein
gene_0090	DUP240 family protein
gene_0091	pheromone-regulated DUP240 family protein PRM9
gene_0092	DUP240 family protein MST28
gene_0093	carnitine O-acetyltransferase YAT1
gene_0094	hypothetical protein
gene_0095	oxysterol-binding protein related protein SWH1
gene_0096	flocculin FLO1
gene_0098	hypothetical protein
gene_0099	hypothetical protein
gene_0100	hypothetical protein
gene_0101	acid phosphatase PHO11
gene_0102	hypothetical protein
gene_0103	hypothetical protein
gene_0104	hypothetical protein
gene_0105	seripauperin PAU9
gene_0107	Mix23p
gene_0108	putative Rab GTPase-binding protein SRO77
gene_0109	protein kinase C
gene_0110	Sea4p
gene_0111	Rtg3p
gene_0112	Sft2p
gene_0113	Ecm21p
gene_0114	hypothetical protein
gene_0115	gag-pol fusion protein
gene_0116	gag protein
gene_0118	F1F0 ATP synthase subunit alpha
gene_0119	kynurenine 3-monooxygenase
gene_0120	condensin subunit BRN1
gene_0121	Mrx3p
gene_0122	Rox3p
gene_0123	ribosomal 60S subunit protein L32
gene_0124	phospholipid metabolism-regulating protein SCS22
gene_0125	methionine aminopeptidase
gene_0126	mitochondrial 37S ribosomal protein MRP21
gene_0127	amino acid transporter
gene_0128	DNA-binding protein kinase TEL1
gene_0129	ribosomal 60S subunit protein L23A
gene_0130	hypothetical protein
gene_0131	Boi1p
gene_0132	anaphase promoting complex subunit CDC27
gene_0133	dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichol alpha-1,3-mannosyltransferase
gene_0134	hypothetical protein
gene_0135	glutamyl-tRNA(Gln) amidotransferase subunit PET112
gene_0136	Nup170p
gene_0137	ubiquitin-like protein ATG8
gene_0138	isoleucine--tRNA ligase ILS1
gene_0139	Hsp70 family ATPase SSA3
gene_0140	U5 snRNP complex subunit AAR2
gene_0142	ribosomal 40S subunit protein S8A
gene_0143	hypothetical protein
gene_0144	Kti11p
gene_0145	hypothetical protein
gene_0146	Ast1p
gene_0147	ribose phosphate diphosphokinase subunit PRS4
gene_0148	ubiquitin-specific protease UBP13
gene_0149	Sef1p
gene_0150	thioredoxin peroxidase PRX1
gene_0151	Kip1p
gene_0152	Skt5p
gene_0153	Arf family guanine nucleotide exchange factor YEL1
gene_0154	Cmc2p
gene_0155	hypothetical protein
gene_0156	protein phosphatase regulator SHP1
gene_0157	aminoacyl-tRNA hydrolase
gene_0158	type 2C protein phosphatase PTC3
gene_0159	3'-5'-exodeoxyribonuclease
gene_0160	Tod6p
gene_0161	Sas3p
gene_0162	Pin4p
gene_0163	Sec17p
gene_0164	Moh1p
gene_0165	Rrt1p
gene_0166	Ede1p
gene_0167	Psy4p
gene_0168	ubiquinol--cytochrome-c reductase subunit COR1
gene_0169	hypothetical protein
gene_0170	Ecm13p
gene_0171	uridine permease
gene_0172	proteasome core particle subunit beta 6
gene_0173	Erd2p
gene_0174	hypothetical protein
gene_0175	CTP synthase URA7
gene_0176	mitochondrial 54S ribosomal protein YmL47
gene_0177	Apl3p
gene_0178	hypothetical protein
gene_0179	DNA-directed DNA polymerase alpha subunit POL12
gene_0180	Stu1p
gene_0181	GTP cyclohydrolase II
gene_0182	Hek2p
gene_0183	She1p
gene_0184	ADP/ATP carrier protein PET9
gene_0185	hypothetical protein
gene_0186	hypothetical protein
gene_0187	hypothetical protein
gene_0188	ribosomal 60S subunit protein L19B
gene_0189	Sm-like protein LSM2
gene_0190	Rrn10p
gene_0191	tRNA (cytosine-C5-)-methyltransferase
gene_0192	MCM DNA helicase complex subunit MCM2
gene_0193	ATP-dependent Lon protease PIM1
gene_0194	Hap3p
gene_0195	glycolipid translocation protein
gene_0196	DNA-(apurinic or apyrimidinic site) lyase APN2
gene_0197	ribonuclease P
gene_0198	type I sorting receptor
gene_0199	mitogen-activated serine/threonine-protein kinase FUS3
gene_0200	acetyl-CoA hydrolase
gene_0203	Rrn6p
gene_0204	methionyl-tRNA formyltransferase
gene_0205	bifunctional glycerol-3-phosphate/glycerone-phosphate O-acyltransferase SCT1
gene_0206	hypothetical protein
gene_0207	protein kinase ALK2
gene_0208	hypothetical protein
gene_0209	Hir1p
gene_0210	cytoskeletal protein-binding protein SLA1
gene_0211	Ldb7p
gene_0212	drug-responsive transcription factor PDR3
gene_0213	gag-pol fusion protein
gene_0214	gag protein
gene_0216	Utp20p
gene_0217	histone H2A
gene_0218	histone H2B
gene_0219	Ecm15p
gene_0220	alpha,alpha-trehalase NTH2
gene_0221	ditrans,polycis-polyprenyl diphosphate synthase
gene_0222	trans-hexaprenyltranstransferase
gene_0223	GPI-anchor transamidase GPI18
gene_0224	Rcr1p
gene_0225	succinate-semialdehyde dehydrogenase (NAD(P)(+))
gene_0226	Dsf2p
gene_0227	Flr1p
gene_0228	histone H4
gene_0229	histone H3
gene_0230	inorganic diphosphatase IPP1
gene_0231	gag-pol fusion protein
gene_0232	gag protein
gene_0233	hypothetical protein
gene_0235	glutathione-disulfide reductase GRX7
gene_0236	alpha-1,2-mannosyltransferase MNN2
gene_0237	hypothetical protein
gene_0238	Kap104p
gene_0239	UDP-glucose:hexose-1-phosphate uridylyltransferase
gene_0240	bifunctional UDP-glucose 4-epimerase/aldose 1-epimerase
gene_0241	galactokinase
gene_0242	uracil permease
gene_0243	ADP-ribose 1''-phosphate phosphatase
gene_0244	chitin synthase CHS3
gene_0245	putative thioredoxin peroxidase SCO2
gene_0246	Obg-like ATPase
gene_0247	Etr1p
gene_0248	hypothetical protein
gene_0249	putative protein kinase YPK3
gene_0250	phosphatidate cytidylyltransferase
gene_0251	protein-lysine N-methyltransferase
gene_0252	ribosomal 60S subunit protein L4A
gene_0253	hypothetical protein
gene_0254	Eds1p
gene_0255	protein-arginine omega-N methyltransferase HMT1
gene_0256	pyridoxamine-phosphate oxidase PDX3
gene_0259	mannosylinositol phosphorylceramide synthase regulatory subunit
gene_0260	Cu-binding protein SCO1
gene_0261	chitin synthase CHS2
gene_0262	F1F0 ATP synthase subunit gamma
gene_0263	Fig1p
gene_0264	long-chain fatty acid transporter FAT1
gene_0265	putative acyltransferase
gene_0266	Qdr3p
gene_0267	Tcm62p
gene_0269	protein phosphatase regulator GIP1
gene_0270	NADPH:quinone reductase
gene_0271	Fmp23p
gene_0272	ribosomal 40S subunit protein S11B
gene_0273	DNA-binding protein REB1
gene_0274	protein phosphatase regulator REG2
gene_0275	flavodoxin-like fold family protein
gene_0276	hypothetical protein
gene_0277	Yro2p
gene_0278	U4/U6-U5 snRNP complex subunit PRP6
gene_0280	17-beta-hydroxysteroid dehydrogenase-like protein
gene_0282	hypothetical protein
gene_0283	Mum2p
gene_0284	ubiquitin-specific protease UBP14
gene_0285	Tsc3p
gene_0286	serine/threonine protein kinase AKL1
gene_0287	origin recognition complex subunit 2
gene_0288	tRNA methyltransferase TRM7
gene_0289	hypothetical protein
gene_0290	hypothetical protein
gene_0291	Ecm2p
gene_0292	Nrg2p
gene_0293	putative lipase
gene_0294	branched-chain amino acid permease BAP2
gene_0295	amino acid transporter TAT1
gene_0296	N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase anchoring subunit ALG14
gene_0297	hypothetical protein
gene_0298	chaperone protein HSP26
gene_0299	hypothetical protein
gene_0300	DNA-dependent ATPase RDH54
gene_0301	Pff1p
gene_0302	Ecm8p
gene_0303	Slm4p
gene_0304	Ecm33p
gene_0305	translation initiation factor eIF3 core subunit a
gene_0306	AAA family ATPase SEC18
gene_0307	SAGA histone acetyltransferase complex subunit SPT7
gene_0310	E2 ubiquitin-conjugating protein UBC4
gene_0311	Tec1p
gene_0312	trifunctional formate-tetrahydrofolate ligase/methenyltetrahydrofolate cyclohydrolase/methylenetetrahydrofolate dehydrogenase MIS1
gene_0313	ribosomal 60S subunit protein L19A
gene_0314	ADP/ATP carrier protein AAC3
gene_0315	hypothetical protein
gene_0316	Ist2p
gene_0317	replication factor C subunit 5
gene_0318	proliferating cell nuclear antigen
gene_0319	high-mobility group nucleosome-binding protein
gene_0320	hypothetical protein
gene_0321	Tim12p
gene_0322	acid phosphatase PHO3
gene_0323	acid phosphatase PHO5
gene_0324	putative tubulin tyrosine ligase
gene_0325	Rxt2p
gene_0326	hypothetical protein
gene_0327	ubiquitin-binding serine/threonine protein kinase VPS15
gene_0328	Mms4p
gene_0329	Fes1p
gene_0330	exocyst subunit EXO84
gene_0331	Sif2p
gene_0332	organic acid transporter
gene_0333	glucose-induced degradation complex subunit VID24
gene_0334	Pho88p
gene_0335	Iml3p
gene_0336	Aim3p
gene_0337	calmodulin
gene_0338	chitobiosyldiphosphodolichol beta-1,4 mannosyltransferase
gene_0339	ADP-ribose diphosphatase
gene_0340	Sus1p
gene_0341	transcription regulator CYC8
gene_0342	DNA repair protein RAD16
gene_0343	L-aminoadipate-semialdehyde dehydrogenase
gene_0344	transketolase TKL2
gene_0345	translation elongation factor EF-1 alpha
gene_0346	Mud1p
gene_0347	Cbp6p
gene_0348	glycine--tRNA ligase
gene_0349	mitochondrial 54S ribosomal protein YmL36
gene_0350	transcription factor TFIIIC subunit TFC1
gene_0351	type 2C protein phosphatase PTC4
gene_0352	alpha,alpha-trehalose-phosphate synthase (UDP-forming) TPS1
gene_0353	Meo1p
gene_0354	H(+)-transporting V1 sector ATPase subunit B
gene_0355	Atg14p
gene_0356	Opy1p
gene_0357	She3p
gene_0358	Ccz1p
gene_0359	Agp2p
gene_0360	protein arginine N-methyltransferase
gene_0361	cyclin-dependent protein kinase regulatory subunit CKS1
gene_0362	protein kinase MEC1
gene_0363	hypothetical protein
gene_0364	hypothetical protein
gene_0365	carboxypeptidase C
gene_0366	GTPase-activating protein IRA1
gene_0367	25S rRNA (adenine2142-N1)-methyltransferase
gene_0368	putative ATP-dependent RNA helicase
gene_0369	translation termination factor eRF1
gene_0370	hypothetical protein
gene_0371	alcohol dehydrogenase ADH5
gene_0372	mitochondrial 37S ribosomal protein MRPS9
gene_0373	cationic amino acid transporter
gene_0374	Ysw1p
gene_0375	D-arabinose 1-dehydrogenase (NAD(P)(+)) ARA1
gene_0376	Tbs1p
gene_0377	Apd1p
gene_0378	U4/U6-U5 snRNP complex subunit SPP381
gene_0379	2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase
gene_0380	DNA-directed RNA polymerase core subunit RPB5
gene_0381	HSP70/90 family co-chaperone CNS1
gene_0382	Sli15p
gene_0383	Ics2p
gene_0384	Amn1p
gene_0385	ketoreductase
gene_0386	cyclin-dependent serine/threonine-protein kinase CDC28
gene_0387	mannosylinositol phosphorylceramide synthase catalytic subunit CSH1
gene_0388	Tos1p
gene_0389	Ysy6p
gene_0390	Exo5p
gene_0391	Arf family GTPase ARL1
gene_0392	Ubs1p
gene_0393	prephenate dehydrogenase (NADP(+))
gene_0394	ribonuclease P/MRP protein subunit POP7
gene_0395	Pex32p
gene_0396	adenyl-nucleotide exchange factor SSE2
gene_0397	Npl4p
gene_0398	Sec63 complex subunit SEC66
gene_0399	Smy2p
gene_0400	Ump1p
gene_0401	Swd3p
gene_0402	3-methyl-2-oxobutanoate hydroxymethyltransferase
gene_0403	medium-chain fatty acid ethyl ester synthase/esterase
gene_0404	mitofusin
gene_0405	Dtr1p
gene_0406	ribosomal 40S subunit protein S6B
gene_0407	Smp1p
gene_0408	hypothetical protein
gene_0409	phytoceramidase
gene_0410	hypothetical protein
gene_0411	Mba1p
gene_0412	Pch2p
gene_0413	putative ribosome biosynthesis protein GDT1
gene_0414	Ntc20p
gene_0415	ribosomal 40S subunit protein S9B
gene_0416	ribosomal 60S subunit protein L21A
gene_0417	Rim2p
gene_0418	Med8p
gene_0419	Aim4p
gene_0420	Msi1p
gene_0421	glucose-6-phosphate isomerase
gene_0422	hypothetical protein
gene_0423	hypothetical protein
gene_0424	hypothetical protein
gene_0425	chromatin modification protein
gene_0426	putative mannosyltransferase
gene_0427	phosphatidylinositol-3-phosphate-binding protein BEM1
gene_0428	hypothetical protein
gene_0429	derlin
gene_0430	hypothetical protein
gene_0431	mini-chromosome maintenance complex protein 7
gene_0432	Cos111p
gene_0433	triacylglycerol lipase
gene_0434	mannosyltransferase KTR3
gene_0435	Fth1p
gene_0436	bifunctional urea carboxylase/allophanate hydrolase
gene_0437	hypothetical protein
gene_0440	Erv15p
gene_0441	Ame1p
gene_0442	Ngr1p
gene_0443	bifunctional precorrin-2 dehydrogenase/sirohydrochlorin ferrochelatase MET8
gene_0444	Sds24p
gene_0445	Hpc2p
gene_0446	Ybp1p
gene_0447	Atg12p
gene_0448	pyruvate carboxylase 2
gene_0449	hypothetical protein
gene_0450	hypothetical protein
gene_0451	pyruvate dehydrogenase (acetyl-transferring) subunit E1 beta
gene_0452	hypothetical protein
gene_0453	Pcs60p
gene_0454	tyrosyl-DNA phosphodiesterase 1
gene_0455	hypothetical protein
gene_0456	Mcx1p
gene_0457	endonuclease
gene_0458	glucan 1,3-alpha-glucosidase ROT2
gene_0459	Om14p
gene_0460	hypothetical protein
gene_0462	Swc5p
gene_0463	Pbp2p
gene_0464	Dad3p
gene_0465	Arc40p
gene_0466	Vhc1p
gene_0467	mRNA (guanine-N7)-methyltransferase
gene_0468	DEAD-box RNA helicase PRP5
gene_0469	hypothetical protein
gene_0470	Ert1p
gene_0471	Thi2p
gene_0472	hypothetical protein
gene_0473	hypothetical protein
gene_0474	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase
gene_0475	glutathione peroxidase GPX2
gene_0476	chromatin-remodeling ATPase ISW1
gene_0477	diphthamide synthase
gene_0478	snoRNA-binding rRNA-processing protein ENP1
gene_0479	imidazoleglycerol-phosphate synthase
gene_0480	3-deoxy-7-phosphoheptulonate synthase ARO4
gene_0481	Spo23p
gene_0482	mitochondrial 37S ribosomal protein MRPS5
gene_0483	bifunctional dITP/dUTP diphosphatase
gene_0484	Srb6p
gene_0485	TRAPP subunit TRS20
gene_0486	Mtc4p
gene_0487	hypothetical protein
gene_0488	riboflavin synthase
gene_0489	RNase P/RNase MRP complex subunit
gene_0490	Shg1p
gene_0491	hypothetical protein
gene_0492	Rgd1p
gene_0493	N-terminal protein methyltransferase
gene_0494	Mic12p
gene_0495	glycine hydroxymethyltransferase SHM1
gene_0496	Rab family GTPase YPT10
gene_0497	3-dehydrosphinganine reductase
gene_0498	Rei1p
gene_0499	mitochondrial 54S ribosomal protein YmL37
gene_0500	Sdh8p
gene_0501	Bit2p
gene_0502	S-adenosylmethionine-dependent methyltransferase
gene_0503	Hsm3p
gene_0504	Ubx7p
gene_0505	serine/threonine protein kinase CHK1
gene_0506	DNA-binding protein RIF1
gene_0507	tyrosine/serine/threonine protein phosphatase PPS1
gene_0508	DNA polymerase epsilon noncatalytic subunit
gene_0509	Paf1p
gene_0510	SCF ubiquitin ligase complex subunit SAF1
gene_0511	glutamine amidotransferase subunit DUG2
gene_0512	mitochondrial 54S ribosomal protein YmL27
gene_0513	Ssh1p
gene_0514	metallo-dependent hydrolase superfamily protein
gene_0515	hypothetical protein
gene_0516	Ape3p
gene_0517	hypothetical protein
gene_0518	Apm3p
gene_0519	Snf5p
gene_0520	Bsd2p
gene_0521	Ctp1p
gene_0522	hypothetical protein
gene_0523	Vba2p
gene_0524	sulfate permease
gene_0525	cation-transporting P-type ATPase PCA1
gene_0526	Pho89p
gene_0527	hypothetical protein
gene_0528	transcription factor MAL33
gene_0529	maltose permease
gene_0530	hypothetical protein
gene_0531	alpha-glucosidase MAL32
gene_0532	seripauperin PAU24
gene_0533	Cos2p
gene_0536	glutathione exchanger
gene_0537	basic amino acid transporter
gene_0538	hypothetical protein
gene_0539	homeodomain mating type protein alpha2
gene_0540	transcriptional co-activator mating type protein alpha
gene_0541	L-serine/L-threonine ammonia-lyase CHA1
gene_0542	Vac17p
gene_0543	chromatin-modulating protein MRC1
gene_0544	ribosome biosynthesis protein KRR1
gene_0545	Fyv5p
gene_0546	Adf1p
gene_0547	Mic10p
gene_0548	metalloendopeptidase
gene_0549	Pex34p
gene_0550	Kar4p
gene_0551	Rdt1p
gene_0552	27S pre-rRNA (guanosine2922-2'-O)-methyltransferase
gene_0553	Pbn1p
gene_0554	Lre1p
gene_0555	bifunctional AP-4-A phosphorylase/ADP sulfurylase
gene_0556	hypothetical protein
gene_0557	hypothetical protein
gene_0558	Sps22p
gene_0559	nicotinamide-nucleotide adenylyltransferase
gene_0560	Emc1p
gene_0561	Mgr1p
gene_0562	protein disulfide isomerase PDI1
gene_0563	hypothetical protein
gene_0564	glucokinase
gene_0565	glucose-induced degradation complex subunit GID7
gene_0566	Atg22p
gene_0567	Sro9p
gene_0568	Gfd2p
gene_0569	dithiol glutaredoxin GRX1
gene_0570	Lsb5p
gene_0571	Mxr2p
gene_0572	Ste50p
gene_0573	Rrp7p
gene_0574	trifunctional histidinol dehydrogenase/phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase
gene_0575	Bik1p
gene_0576	prion domain-containing protein RNQ1
gene_0577	Fus1p
gene_0578	putative nitroreductase
gene_0579	type II nitroreductase
gene_0580	amino acid transporter AGP1
gene_0581	serine/threonine protein kinase
gene_0583	hypothetical protein
gene_0584	gag-pol fusion protein
gene_0585	gag protein
gene_0587	3-isopropylmalate dehydrogenase
gene_0588	Nfs1p
gene_0589	Dcc1p
gene_0590	Bud3p
gene_0591	hypothetical protein
gene_0592	single-stranded telomeric DNA-binding/mRNA-binding protein
gene_0593	Sgf29p
gene_0594	acetolactate synthase regulatory subunit
gene_0595	ubiquitin-binding ESCRT-I subunit protein STP22
gene_0596	H(+)-transporting V0 sector ATPase subunit e
gene_0598	Ldb16p
gene_0599	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
gene_0600	hypothetical protein
gene_0601	protein retrieval receptor
gene_0602	hypothetical protein
gene_0603	hypothetical protein
gene_0604	hypothetical protein
gene_0605	septin CDC10
gene_0606	mitochondrial 54S ribosomal protein YmL32
gene_0607	flavodoxin-like fold family protein
gene_0608	citrate (Si)-synthase CIT2
gene_0609	hypothetical protein
gene_0611	DUP240 family protein
gene_0613	serine/threonine protein kinase SAT4
gene_0614	amphiphysin-like protein RVS161
gene_0615	Ady2p
gene_0616	putative ATP-dependent permease ADP1
gene_0617	phosphoglycerate kinase
gene_0618	DNA-directed DNA polymerase IV
gene_0619	Cto1p
gene_0622	hypothetical protein
gene_0623	Cwh43p
gene_0624	Srd1p
gene_0627	Mak32p
gene_0628	Pet18p
gene_0629	Mak31p
gene_0630	Htl1p
gene_0631	Hsp30p
gene_0632	hypothetical protein
gene_0633	hypothetical protein
gene_0634	asparagine--tRNA ligase SLM5
gene_0635	hypothetical protein
gene_0636	proteolipid ATPase
gene_0637	hypothetical protein
gene_0638	nucleotide diphosphatase/phosphodiesterase NPP1
gene_0639	putative GTPase RHB1
gene_0641	Fen2p
gene_0642	Rim1p
gene_0643	Syp1p
gene_0645	ribosomal 40S subunit protein S14A
gene_0647	Bph1p
gene_0648	Snt1p
gene_0649	fatty acid elongase ELO2
gene_0650	exosome non-catalytic core subunit RRP43
gene_0651	putative ribokinase
gene_0652	SPX domain-containing inorganic phosphate transporter
gene_0653	Ras family guanine nucleotide exchange factor BUD5
gene_0654	homeodomain mating type protein alpha2
gene_0655	transcriptional co-activator mating type protein alpha
gene_0656	hypothetical protein
gene_0657	Taf2p
gene_0658	hypothetical protein
gene_0659	Per1p
gene_0660	Rrt12p
gene_0661	mitochondrial 54S ribosomal protein IMG1
gene_0662	18S rRNA (guanine1575-N7)-methyltransferase
gene_0663	sterol acyltransferase
gene_0664	hypothetical protein
gene_0665	hypothetical protein
gene_0666	Rsc6p
gene_0667	threonine synthase THR4
gene_0668	Ctr86p
gene_0669	snoRNA-binding rRNA-processing protein PWP2
gene_0670	Yih1p
gene_0671	Tah1p
gene_0672	hypothetical protein
gene_0674	U2 snRNP complex subunit BUD31
gene_0675	Hcm1p
gene_0676	E3 ubiquitin-protein ligase RAD18
gene_0677	Sed4p
gene_0678	triglyceride lipase ATG15
gene_0679	peptidylprolyl isomerase family protein CPR4
gene_0680	mitochondrial 54S ribosomal protein IMG2
gene_0681	Rsa4p
gene_0682	mitogen-activated protein kinase kinase kinase SSK22
gene_0683	Sol2p
gene_0684	cystinosin-like protein ERS1
gene_0685	Ego2p
gene_0686	Fub1p
gene_0687	Pat1p
gene_0688	type 2C protein phosphatase PTC6
gene_0689	Srb8p
gene_0690	Ahc2p
gene_0691	Trx3p
gene_0692	chromatin-silencing transcriptional regulator TUP1
gene_0693	hypothetical protein
gene_0694	Csm1p
gene_0695	hypothetical protein
gene_0696	Abp1p
gene_0697	Fig2p
gene_0698	hypothetical protein
gene_0699	putative serine/threonine protein kinase KIN82
gene_0700	mismatch repair protein MSH3
gene_0701	CCR4-NOT core subunit CDC39
gene_0702	aminophospholipid translocase regulatory protein CDC50
gene_0703	Oca4p
gene_0704	hypothetical protein
gene_0705	homeodomain mating type protein a2
gene_0706	Hmra1p
gene_0708	Git1p
gene_0709	hypothetical protein
gene_0710	hypothetical protein
gene_0711	hypothetical protein
gene_0712	hypothetical protein
gene_0713	seripauperin PAU3
gene_0714	NADP-dependent alcohol dehydrogenase
gene_0715	Rds1p
gene_0716	putative aryl-alcohol dehydrogenase
gene_0717	hypothetical protein
gene_0718	Cos7p
gene_0719	alpha-glucoside permease
gene_0720	L-iditol 2-dehydrogenase SOR2
gene_0721	hexose transporter HXT15
gene_0722	4-amino-5-hydroxymethyl-2-methylpyrimidine phosphate synthase
gene_0723	putative aryl-alcohol dehydrogenase
gene_0724	hypothetical protein
gene_0725	hypothetical protein
gene_0726	Lrg1p
gene_0727	Ady3p
gene_0728	guanine deaminase
gene_0729	Aim6p
gene_0730	4-nitrophenylphosphatase
gene_0731	Ypd1p
gene_0732	Gyp7p
gene_0733	Mfg1p
gene_0734	olichyl-diphosphooligosaccharide--protein glycotransferase OST4
gene_0735	Bre4p
gene_0736	tyrosine protein phosphatase PTP1
gene_0737	Hsp70 family ATPase SSB1
gene_0738	Hop
gene_0739	Gcs1p
gene_0740	septin SHS1
gene_0741	Whi4p
gene_0742	Hbt1p
gene_0743	Fmp45p
gene_0744	telomere-binding protein CDC13
gene_0745	D-tyrosyl-tRNA(Tyr) deacylase
gene_0746	hypothetical protein
gene_0747	translocation channel protein TIM22
gene_0748	COP9 signalosome catalytic subunit RRI1
gene_0749	glutamate dehydrogenase (NAD(+))
gene_0750	serine/threonine protein kinase PRR2
gene_0751	Nop6p
gene_0752	Shr3p
gene_0753	hypothetical protein
gene_0755	Uga4p
gene_0756	Cwc2p
gene_0757	snoRNA-binding protein NHP2
gene_0758	nucleoporin GLE1
gene_0759	hypothetical protein
gene_0760	hydroxymethylbilane synthase
gene_0761	Rtn2p
gene_0762	Ack1p
gene_0763	mitochondrial 54S ribosomal protein YmL11
gene_0764	tRNA (guanine46-N7)-methyltransferase
gene_0765	methylated-DNA--protein-cysteine methyltransferase
gene_0766	hypothetical protein
gene_0767	Ggc1p
gene_0768	Asf2p
gene_0769	Sec31p
gene_0770	glucose sensor
gene_0771	ditrans,polycis-polyprenyl diphosphate synthase
gene_0772	Arf family GTPase ARF1
gene_0773	ribosomal 60S subunit protein L35A
gene_0774	ubiquitin-ubiquitin ligase UFD2
gene_0775	Rbs1p
gene_0776	phosphoprotein phosphatase 2A catalytic subunit PPH22
gene_0777	hypothetical protein
gene_0778	H(+)-transporting V1 sector ATPase subunit A
gene_0779	ribosomal 60S subunit protein L41A
gene_0780	hypothetical protein
gene_0781	homocitrate synthase LYS20
gene_0782	ATPase inhibitor
gene_0783	hypothetical protein
gene_0784	Pcl9p
gene_0785	D-lactate dehydrogenase
gene_0786	hypothetical protein
gene_0787	hypothetical protein
gene_0788	TRAMP complex RNA-binding subunit
gene_0789	D-lactate dehydrogenase
gene_0790	Par32p
gene_0791	glutamate synthase (NADH)
gene_0792	Uga3p
gene_0793	Ugx2p
gene_0794	bifunctional alcohol dehydrogenase/S-(hydroxymethyl)glutathione dehydrogenase
gene_0795	Nrp1p
gene_0796	nucleoside-triphosphatase
gene_0797	CCR4-NOT core subunit CDC36
gene_0798	DNA ligase (ATP) CDC9
gene_0799	epsin
gene_0800	Mhf2p
gene_0801	DExD/H-box ATP-dependent RNA helicase DHH1
gene_0802	hypothetical protein
gene_0803	mitogen-activated protein kinase kinase STE7
gene_0804	hypothetical protein
gene_0805	Cmr1p
gene_0806	B-type cyclin CLB3
gene_0807	MutS family protein MSH5
gene_0808	rRNA-processing protein SAS10
gene_0809	DNA-directed RNA polymerase III subunit C53
gene_0810	autophagy protein ATG9
gene_0811	snoRNA-binding rRNA-processing protein NOP14
