"Species","Tissue","Cell Type","Cancer","Cell Marker","Source","Supported Sources","Details"
"Human","Peripheral blood","Naive CD8+ T cell","Normal","ABLIM1, ACTN1, AIF1, APBA2, APEX1, ARHGAP45, ARHGEF18, ATM, BACH2, BEX4, C1orf162, C1orf228, C6orf48, CA6, CAMK4, CCR7, CD248, CD55, CEP68, COQ8A, DGKA, EEF2, EIF3E, EIF3L, EPHX2, EXOSC8, FAM102A, FAM117B, FAM60A, FKBP5, FOXP1, GAS5, GCSAM, GIMAP2, GLTSCR2, GPR155, GPR183, IGF1R, ITFG2, LDHB, LDLRAP1, LEF1, LEF1-AS1, LINC01550, LMO7, LRRC75A, LRRC75A-AS1, LRRN3, MAL, MAML2, MLXIP, MYC, NDFIP1, NELL2, NOG, NOSIP, NPAT, NPM1, NT5E, OXNAD1, PASK, PDE3B, PDK1, PIK3IP1, PLEKHB1, PRKCQ-AS1, PSIP1, R3HDM4, RACK1, RASGRP2, RCAN3, RIC3, RPS8, SCML4, SELL, SERINC5, SGSM3, SH3YL1, SMAP2, SNED1, SNURF, SPINT2, SPTBN1, STMN3, TCF7, THAP7, THEM4, TMEM123, TMEM204, TMEM63A, TNFSF8, TOMM7, TPCN1, TRABD2A, TRAP1, TRMT1, TXK, UBQLN2, VIPR1, WDR43, ZNF101","Single-cell sequencing","1","more details"
"Human","Peripheral blood","Naive T cell","Normal","CCR7, CD27, CD8A, CD8B","Single-cell sequencing","1","more details"
"Human","Peripheral blood","Natural killer cell","Normal","CCL3, CD160, CD247, GNLY, GZMB, NKG7","Single-cell sequencing","1","more details"
"Human","Peripheral blood","Natural killer cell","Normal","FCGR3A, FCGR3B, KLRB1, KLRB1, KLRC1, KLRD1, KLRF1, KLRK1, NCAM1","Single-cell sequencing","1","more details"
"Human","Peripheral blood","Natural killer T (NKT) cell","Normal","CD8A, CD8B, ZNF683","Single-cell sequencing","1","more details"
"Human","Peripheral blood","Plasmacytoid dendritic cell","Normal","CD123, GZMB","Single-cell sequencing","1","more details"
"Human","Peripheral blood","pro-Natural killer cell (pro-NK cell)","Normal","ID2","Single-cell sequencing","1","more details"
"Human","Peripheral blood","Regulatory T (Treg) cell","Normal","ANXA2P2, ATP2B1, B3GNT2, BIRC3, CASP2, CCDC141, CCM2, CCR10, CCR4, CCR8, CLDND1, CORO7, CORO7-PAM16, CPNE2, ELK3, F5, FAM110A, FANK1, FCMR, FCRL3, FOXP3, GLRX, HAPLN3, HPGD, IKZF2, IL10RA, IL2RA, ISG20, LMNA, METTL7A, PDP1, PI16, REREP3, RNF214, RTKN2, SAMHD1, SELPLG, SNX20, STAM, TBC1D4, TLDC2, TRIM16, TTC39C, TTN, USP15","Single-cell sequencing","1","more details"
"Human","Peripheral blood","Regulatory T (Treg) cell","Normal","CCR10, CD25, CD52, CMTM7, FOXP3","Single-cell sequencing","1","more details"
"Human","Peripheral blood","Regulatory T (Treg) cell","Normal","CD4, CTLA4, FOXP3, IL2RA","Single-cell sequencing","1","more details"
"Human","Peripheral blood","T cell","Normal","CD27, CD28, CD3D, CD3E, CD3G","Single-cell sequencing","1","more details"
"Human","Peripheral blood","Cancer cell","Ovarian Cancer","EpCAM, MCAM, WFDC2","Single-cell sequencing","1","more details"
